排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
32,8043,蜜望實,103,+4.1,+4.15,05/14,+1.15,+1.12,+1.61,+1.58,+1.37,+1.61,-2.08,+6.13,-0.06,-0.04,-0.12,+1.14
33,8040,九暘,87.9,+5.5,+6.67,05/14,+1.11,+1.59,+1.72,+1.24,+1.71,+0.92,+1.1,+0.78,+0.71,+0.37,+0.63,+0.77
34,3033,威健,46.4,+3.45,+8.03,05/14,+1.1,+0.51,+1.73,+3.06,+5.78,+9.28,+13.4,+14,+9.01,+10.6,+13.6,+12.2
35,6451,訊芯-KY,525,+47,+9.83,05/14,+1.09,+1.89,+1.31,+1.1,+0.73,+1.01,+2.71,+4.61,-0.47,+3.57,-2.06,+3.77
36,6509,聚和,47.05,+0.4,+0.86,05/14,+1.08,+1.3,+3.11,+2.99,+3.49,+3.86,-0.97,+1.01,+1.24,+3.06,+1.79,+0.37
37,00650L,復華香港正2,18.34,+0.22,+1.21,05/14,+1.05,+1.08,+1.28,+0.78,+0.9,-0.47,-1.79,-0.69,+8.45,+32,+40.1,-1.13
38,3479,安勤,104,+7.7,+8,05/14,+1.05,+1.28,+1.32,+1.44,+2.17,+2.44,-0.45,-5.95,-5.93,-6.19,-2.27,-2.79
39,3028,增你強,78.8,+5.5,+7.5,05/14,+1.05,+0.94,+1.21,-0.48,-0.91,-0.97,+1.79,+2.65,+4.4,+7.58,+7.4,+3.53
40,8110,華東,51.5,+2.05,+4.15,05/14,+1.02,+0.82,+0.73,+0.21,-0.21,-0.68,-1.43,-4.07,-0.68,-0.14,-0.7,-3.11
41,009803,玉山市值動能50,20.23,-0.03,-0.15,05/14,+1.01,+0.66,+0.41,+0.15,+0.26,-1.27,+1.01,+2.92,+4.7,,,+1.52
42,5536,聖暉*,1010,+60,+6.32,05/14,+0.98,+1.79,+1.47,+1.63,+1.28,+9.74,+14.1,+8.34,+0.28,+14.7,+22.7,+12
43,4571,鈞興-KY,204.5,+13.5,+7.07,05/14,+0.97,+1.19,+1.53,+2.42,+2.43,+2.45,+2.7,+3.13,-6.13,-4.6,,+2.75
44,6166,凌華,111.5,0,0,05/14,+0.96,+1.17,+1.49,+1.59,+2.26,+4.29,+4.9,+6.24,+2.74,+8.25,-1.41,+4.71
45,3005,神基,103.5,+5.6,+5.72,05/14,+0.91,+0.84,+0.66,+0.59,+0.2,+0.3,-8.28,-14.5,-5.74,-20.2,-11.1,-12.3
46,8112,至上,84.5,+2.3,+2.8,05/14,+0.9,+0.52,-4.07,-5.33,-5.06,-6.02,-5.37,-5.08,-7.99,-6.42,-7.6,+0.11
47,3441,聯一光,42.9,+3.9,+10,05/14,+0.89,+0.82,+0.87,+0.69,+0.7,+0.08,-0.04,+1.48,-0.88,+2.88,+1.49,+0.32
48,00971,野村美國研發龍頭,16.79,+0.14,+0.84,05/14,+0.89,+0.89,+2.1,+2.65,+3.52,+6.16,+8.74,+9.08,+27.3,,,+9.03
49,6138,茂達,306.5,+19,+6.61,05/14,+0.88,+1.07,+0.81,+1.37,+2.77,+3.42,+0.74,+1.59,+12.7,+21.2,+30.1,+1.98
50,6831,邁科,722,+34,+4.94,05/14,+0.87,+1.4,+1.55,+2.31,+0.47,+1.5,+2.29,,,,,+2.1
51,4916,事欣科,66.9,+1.7,+2.61,05/14,+0.84,-1.58,+0.17,-0.18,-0.16,+7.66,+11.5,+5.57,+7.51,+4.31,+3.79,+12.2
52,00966B,統一ESG投等債15+,13.88,+0.03,+0.22,05/14,+0.82,+1.12,+1.65,+2.74,+3.58,+6.27,+8.51,+7.62,+5.63,,,+7.94
53,6805,富世達,1780,-50,-2.73,05/14,+0.81,+1.25,+0.84,+1.07,+0.75,+3.46,+1.37,-0.83,+2.56,,,+0.75
54,8021,尖點,490.5,+44.5,+9.98,05/14,+0.8,+0.04,+0.67,+0.57,+1.09,+2.62,+9.3,+1.57,+4.66,+4.95,+4.65,+4.84
55,2606,裕民,64.6,+0.3,+0.47,05/14,+0.79,+1.22,+1.63,+2.18,+3.12,+2.93,+4.3,+6.3,+6.37,+3.15,+10.7,+7.66
56,3545,敦泰,57.8,+2.1,+3.77,05/14,+0.79,+0.51,+0.4,+0.85,+1.42,+0.55,-0.67,-3.85,-11.7,+1.9,-14.6,-1.97
